기능 ID,API/ 데이터,개발 난이도,기능명,백엔드 처리,비고,설명,우선순위,입력,출력,프론트 처리
HOME-01,클라이언트 로컬 시각 (서버 호출 없음),하,날짜 및 웰컴 멘트,없음 — 서버 통신 불필요,"  • 시간 구분 및 각 멘트 확정 필요","홈 최상단에 오늘 날짜와 요일, 시간대에 맞는 인사 문구를 표시한다. ",high,디바이스 현재 시각(로컬 타임존),"날짜 문자열, 시간대 구분값(아침/오전/오후/밤), 웰컴 멘트 문구",
HOME-02,HealthKit(애플워치 수면 데이터) → 동기화 후 자체 DB 저장분 조회,중,어젯밤 수면 통역 카드 (일간 리포트 요약),수면 세션 정규화 → 기준치 대비 편차 계산 → 가장 부족한 지표 1개 선정 → 헤드라인 템플릿에 지표명·부족량 주입,"  • 수면 부족 시간: 일반 권장치 vs 개인 최근 N일 평균 중 정하기
  • 수면 데이터 없을 때 처리 어떻게 할지 정하기",어젯밤 수면을 한 문장으로 요약한다. 【화면 이동】카드 탭 → REPORT 탭의 일간 리포트(와이어프레임 10a)로 이동.,high,"사용자 ID, 조회 기준일, 직전 수면 데이터","수면 요약 문구, 근거 데이터 4종(깊은 수면 부족 시간, 깊은 수면 시간 / 각성 횟수 / 취침 시각), ",
HOME-03,자체 DB (수면 지표 + 개인 가중치),상,오늘의 피부 예보,수면 지표별 가중합 스코어링 → 개인 모델 가중치 반영 → 0~100 정규화 → 등급 컷오프 매핑 → 오늘자 예보값 저장(HOME-07 대조에 사용),"  • 수치에 대한 등급 기준 필요
  • 수면 데이터 없을 시 예보 미산출 빈 상태 처리 필요
  • 피부 지표 카테고리도 확정 필요","직전 수면 데이터를 3개 피부 지표(다크서클 회복, 혈색, 장벽)의 0~100 지수로 수치화한 후 등급(위험,주의,보통,안정)으로 표시한다. (서비스의 핵심 화면) 예보는 부정확하다는 경고 메세지를 표시한다.",high,"사용자 ID, 조회 기준일, 직전 수면 세션 지표, [[개인 모델 가중치(HOME-08 산출값)]]","피부 지표별 예보 점수, 상태",
HOME-04,자체 DB,중,게이미피케이션 (캐릭터·레벨·EXP) — 방향 미확정,EXP 적립 트리거(검증 완료·TODO 수행 등)와 레벨 테이블 정의 필요 — 미정,EXP 적립 트리거(검증 완료·TODO 수행 등)와 레벨 테이블 정의 필요 — 미정,사용자 캐릭터와 레벨/EXP를 홈에 노출해 재방문을 유도한다. 【화면 이동】플로우차트상 '게임 캐릭터 클릭' → 이후 동작은 ‘논의 필요’,low,"사용자 ID, 조회 기준일(오늘), 누적 수면 세션 지표","캠릭터 정보(레벨, EXP, 다음 레벨까지 잔량) — 미확정",
"HOME-05 ",디바이스 카메라 (권한: 카메라),중,셀피 예보 검증 진입,없음 — 촬영 단계에서는 서버 전송 없음. 촬영 완료 즉시 HOME-06으로 전달,,【화면 이동】HOME-06으로 이동(와이어프레임 05),high,카메라 권한,셀피 촬영 화면,
HOME-06,디바이스 카메라 (권한: 카메라),중,셀피 검증 — 촬영,없음 — 촬영 단계에서는 서버 전송 없음. 촬영 완료 즉시 HOME-06으로 전달,,전면 카메라로 얼굴 셀피를 촬영한다. 5초 자동 촬영 + 수동 셔터 병행. 【화면 이동】HOME-07 분석 화면. (와이어프레임 06),high,"카메라 권한, 전면 카메라 프리뷰","셀피 이미지 1장 (디바이스 메모리 보관, 갤러리 저장 안 함)",
HOME-07,디바이스 카메라 (권한: 카메라),중,피부 지표 분석 진행 상태 표시,없음 — 촬영 단계에서는 서버 전송 없음. 촬영 완료 즉시 HOME-06으로 전달,,"읽는 중 표시와 남는 시간을 알려준다. ",high,"사용자 ID, 셀피 이미지, 오늘자 예보값(HOME-03 산출값, 와이어프레임04)","셀피 이미지 1장 (디바이스 메모리 보관, 갤러리 저장 안 함)",
HOME-08,"LLM Vision API, S3(임시 업로드), 자체 DB(오늘 예보값 조회)",상,셀피 검증 — 분석 (LLM 지표 산출),S3 임시 업로드 → LLM Vision 분석 요청 → 응답 파싱 및 0~100 정규화 → 지표 저장 → 원본 이미지 즉시 삭제(서버에는 숫자 지표만 잔존),"  • [예외] 분석 실패·타임아웃 시 재시도 UI 필요
  • [보안] S3 업로드 URL 만료·접근제어 정책 미정","촬영한 셀피를 LLM Vision으로 분석해 4개 피부 지표의 실측값을 산출하고, 분석 진행 상태를 단계별(진행중, 완료,대기)로 보여준다.【화면 이동】분석 완료 시 사용자 액션 없이 결과 화면으로 자동 전환. (와이어프레임 07)",high,"사용자 ID, 셀피 이미지, 오늘자 예보값(HOME-03 산출분,와이어프레임04)","실측 지표 4종(0~100), 분석 성공/실패 상태",
HOME-09,,하,원본 이미지 자동 폐기 안내,,," 사진이 폐기됨을 알려준다.",high,,,
HOME-10,,하,전일 예보 정확도 안내,,,전일 피부 예보 안내 문구,high,,,
HOME-11,"예보 검증 결과 조회 API / 피부 예보 데이터, 피부 실측 데이터, 사용자 검증 이력",하,예보 적중률 · 연속 검증 배너,최근 검증 결과 1건 조회 + 연속 검증일수 계산(미검증일 발생 시 리셋 규칙 적용),"[예외] 검증 이력 없는 신규 사용자 문구 대체 필요(예: ""첫 검증을 시작해보세요"") / [미정] 연속일 리셋 규칙(하루 건너뛰면 0으로 초기화 여부) / HOME-04 게이미피케이션과 통합 여부 검토 대상",오늘의 예보 적중률과 연속 검증 일수를 배너 형태로 제공한다.,medium,"사용자 ID, 조회 기준일, 오늘 예보 지표, 오늘 실측 지표, 연속 검증 이력","오늘의 예보 적중률(%), 연속 검증 일수",
HOME-12,"피부 예보 데이터, 셀피 피부 분석 데이터(LLM Vision 분석값) / 결과 조회 API",중,셀피 검증 — 결과 (예보 vs 실측 대조),지표별 |예보−실측| 오차 계산 → 판정 매핑(적중/근접/과소예측/과대예측) → 전체 적중률 산출 → 검증 이력 및 연속일수 갱신 → HOME-08 가중치 학습 트리거,적중·근접·과소예측 등 판정 기준(오차 범위) 협의 필요,"오늘 예보값과 셀피 실측값을 지표별로 대조해 판정값을 제공한다. (서비스 신뢰도를 보여주는 핵심 화면) ",high,"사용자ID, 조회 기준일, 오늘 예보 4지표(HOME-03), 오늘 실측 4지표","지표별 예보값(HOME-03), 실측값, 판정 결과(적중·근접·과소예측 등)",
HOME-13,"피부 예보 지표, 셀피 분석 지표, 사용자 검증 이력, 과거 수면 기록 이력, 개인 모델 가중치 / 개인 모델 보정 결과 조회 API ",상,개인 모델 학습 안내 (지표 가중치 보정),지표별 오차 방향·크기를 반영해 개인 가중치 업데이트 → 다음 HOME-03 예보 산출에 즉시 적용 → 가장 크게 조정된 지표로 설명 문장 생성,,예보와 실측 결과를 바탕으로 발견된 사용자의 피부 반응 패턴과 예보·실측 차이를 기반으로 개인 모델을 보정한 후 결과 제공,medium,"사용자 ID, 오늘 예보 지표, 오늘 실측 지표, 과거 검증 이력, 과거 수면 기록, 기존 개인 모델 가중치","주요 피부 반응 패턴, 모델 보정 결과(다크서클, +12%), 개인화 안내 문구",
HOME-14,자체db,중,오늘의 스킨케어 처방 보기,지표별 |예보−실측| 오차 계산 → 판정 매핑(적중/근접/과소예측/과대예측) → 전체 적중률 산출 → 검증 이력 및 연속일수 갱신 → HOME-08 가중치 학습 트리거,,【화면 이동】하단 '오늘의 스킨 처방' 버튼 탭 → TODO 탭으로 이동 (와이어프레임 08),high,"사용자 ID, 조회 기준일",오늘의 스킨케어 처방 화면,
,,,,,,,,,,
