기능 ID,API/ 데이터,개발 난이도,기능명,백엔드 처리,비고,설명,우선순위,입력,출력,프론트 처리
REP-01,없음 (클라이언트 라우팅),하,리포트 탭 네비게이션 (일간·주간·월간·종합),없음," ",REPORT 탭 상단의 기간 전환 네비. 일간·주간·월간·종합 4개 리포트를 전환한다. (공통 컴포넌트 Report Nav / 플로우차트 '리포트' 루트),high,선택한 기간 탭,해당 기간 리포트 화면,
REP-02,자체 DB,중,일간 리포트 — 인사이트 및 오늘의 액션,수면·피부 지표 조회 → 목표 달성 여부 판정 → 인사이트 문장 생성 → TODO-02 추천 결과 상위 2건 인용,"액션 제안 예시 = '23:30 이전 취침 — 깊은 수면 +12분 예상' / '저녁 루틴에 세라마이드 크림 추가' → TODO-02와 동일 엔진 재사용할지 별도 생성할지 확정 필요 / 진입구: HOME-02 카드 탭


todo에 있는 뭐 상위 2개를 가져올건지 아님 새롭게 가져올건지 아님 todo 다 가져올건지 정해야할듯","어젯밤 수면이 오늘 피부에 남긴 결과를 한눈에 요약하고, 오늘 해볼 행동 2개를 제안한다. (와이어프레임 10a)",high,"사용자 ID, 조회 기준일, 직전 수면 세션, 오늘 피부 지표","인사이트 문장 2줄(예: '깊은 수면 62분 · 목표 달성' / '오늘 장벽 지수 79 (+7)'), 액션 제안 2건",
REP-03,HealthKit 수면 단계 데이터 → 자체 DB,중,일간 — 수면 단계 타임라인,수면 구간 병합·정렬 → 단계별 누적 시간 집계 → 타임라인 렌더용 구간 배열 반환,"수면 단계 4종(얕은·깊은·렘·각성) 범례 필요 / HealthKit 단계 구분이 기기·OS 버전별로 다를 수 있음 — 매핑 규칙 필요 / 수면 세션이 여러 개로 쪼개진 경우 병합 기준 미정
ㄴ 중간에 깨고 다시 자면, 깬 시간 그대로 표시해야할 듯",지난밤 수면 구간을 단계별로 시각화한다. 예: 23:40–07:10 구간을 얕은·깊은·렘·각성으로 나누어 표시. (플로우차트 '수면 타임라인'),medium,직전 수면 세션의 단계별 구간 데이터(HealthKit),"수면 구간 배열 {단계, 시작·종료 시각}, 단계별 총량(깊은 2시간 6분 / 렘 1시간 11분 / 얕은 3시간 55분 / 각성 2회)",
REP-04,자체 DB,하,일간 — 수면 관련 수치 (전체 통계),수면 세션 집계 및 포맷팅,"호흡수, 심박수, 각성, 깊은수면 여러개 요약버전으로 정해야할듯
ㄴ 그래서 요약 제공이 아니 전체제공은 어떤지","직전 수면의 수치를 전체 제공
  • 카테고리: 총 수면 시간, 깊은 수면 시간, 각성 횟수, 각성 총 시간, 수면 효율, 입면 지연 시간, ",high,직전 수면 세션,"총 수면 시간, 깊은 수면 분, 야간 각성 횟수",
REP-05,자체 DB,하,일간 — 오늘의 피부 지표 (전일 대비 변화),전일 값 조회 → 차이 계산 → 부호 포함 포맷팅,"  • 다크서클, 눈 부기, 혈색 저하, 장벽 으로 픽스하는건 어떤지 (피부 관련 전 내용)
  •  전일 값 없을 때 증감 표기 처리 미정",오늘 피부 지표를 전일 대비 증감과 함께 표시한다. 예: 장벽 지수 79(+7) / 유분 밸런스 61(−3) / 다크서클 44(+1). (플로우차트 '오늘 피부 지표'),high,오늘·전일 피부 지표,"지표명, 오늘 값, 전일 대비 증감",
REP-06,자체 DB,중,주간 리포트 — 수면 점수 추이,"7일치 집계 → 조건부 평균 비교로 인사이트 생성(예: '깊은 수면 60분 이상인 날, 다음 날 장벽 지수 평균 +21') → 적중률·검증일수 집계","  • 신규 사용자는 “아직 데이터가 부족해요” 로 처리하는 건 어떤지
  •  상관 인사이트 문장은 수면데이터 기반 생성",최근 7일간 장벽 지수를 막대 차트로 보여주고 상관 인사이트와 요약 통계를 제공한다. (와이어프레임 10 / 플로우차트 '수면 점수'),high,"사용자 ID, 최근 7일 수면·피부 지표·검증 이력","일별 장벽 지수 7개 + 목표선, 상관 인사이트 문장, 요약 통계 3종(예보 적중률 86% / 평균 깊은수면 56분 / 검증 일수 7일)",
REP-07,자체 DB,상,주간 — 피부 직결 원인 및 영향도 (상관 강도),(추후 구성),"수면 결과 → 피부 카테고리 연결 지어, 점수를 가장 떨어뜨리는 요인 제공",어떤 수면 요인이 피부를 가장 크게 흔드는지 상관 강도로 순위화한다. 예: 야간 각성→다크서클 매우 강함. (플로우차트 '피부 직결 원인 및 영향도'),medium,최근 7일 수면 피처 × 피부 지표 페어,요인→지표 쌍 4종과 각각의 상관 강도 라벨(매우 강함/강함/보통/약함),
REP-08,자체 DB,중,월간 리포트 — 주차별 수면 점수표,월단위 주차 분할 → 주차별 평균 산출 → 전월 대비 증감 계산 → 인사이트 생성,"[미정] 주차 분할 기준(월~일 vs 1일 기준 7일 단위) / 기록이 한 달 미만인 사용자 처리 미정 / 월간은 해커톤 데모에서 데이터 확보가 어려우므로 후순위 가능

목업 데이터로 넣어도 되지않을까 싶음 해커톤이라 30일을 모으기는 어려우니","한 달을 주차별로 집계해 장벽 지수 추이와 월간 인사이트를 제공한다. 예: '취침 시각이 일정했던 3주차부터, 월 평균 장벽 지수 71(지난달 +9)'. (와이어프레임 10b / 플로우차트 '주차별 수면 점수표')",medium,"사용자 ID, 조회 월, 월간 수면·피부 지표","주차별(W1~W5) 평균 장벽 지수, 최고 주차 강조, 월간 인사이트, 요약 통계 3종(적중률 82% / 평균 깊은수면 49분 / 검증 일수 26일), 월간 상관 강도 4쌍",
REP-09,자체 DB,상,종합 리포트 — 종합 판단 (트리아지),수면 지표는 목표 달성 & 특정 피부 지표만 N주간 변화 없음 → 트리아지 조건 충족 판정 → 근거 문장 생성,"근거 3항목 예시 = 최근 3주 수면 목표(평균 깊은수면 68분 · 달성) / 장벽·다크서클(48→79 회복) / 볼 부위 색소침착(61→60, 3주째 변화 없음) / ❗️'볼 부위 색소침착'은 현재 4개 지표 체계에 없는 새 지표 → 지표 체계 확장 여부 결정 필요 / [미정] 트리아지 발동 임계값(몇 주 정체 · 변화폭 몇 점 이하) / 하단 면책 문구 고정 노출: '의료 진단이 아닙니다. 기록 패턴에 기반한 참고 신호입니다.'",누적 기록을 분석해 '수면으로는 잡히지 않는 신호'를 판별하고 판단 근거를 제시한다. (와이어프레임 12 / 플로우차트 '종합 판단'),medium,"최근 3주 수면 목표 달성 이력, 지표별 변화 추이","트리아지 알림 여부, 판단 근거 3항목, 정체 중인 지표 목록"," "
REP-10,자체 DB,중,종합 — 앱이 도와준 항목 / 정밀 클리닉 필요 항목,지표별 개선 여부에 따라 영역 분류 → 목록 구성,"현재 와이어프레임은 고정 문구로 보임 → 사용자별 동적 구성인지 고정 안내인지 확정 필요. 고정이면 난이도 '하'로 낮아짐


사용자별로 동적구성을 해야 우리 프로젝트의 취지에 맞을듯
ㄴ 동의합니다",SkinCast가 다루는 영역과 임상 영역을 명확히 구분해 보여준다. (플로우차트 '앱이 도와준 항목' / '정밀 클리닉 필요 항목'),medium,"REP-09 판단 결과, 지표별 개선 이력, TODO 달성 이력","앱 담당 영역 목록(피부 장벽·푸석함 / 다크서클 / 일시적 염증), 클리닉 필요 영역 목록(색소침착 / 여드름 흉터 / 구조적 노화)",
REP-11,외부 링크 (엠레드 클리닉 웹),하,엠레드 클리닉 상담 연결,연결 클릭 이벤트 기록(제휴 지표용) — 필요 시,"❗️[미정 · 피그마에 직접 메모됨] '상담 알아보기 버튼 이후 어떻게 실행될건지?' → 외부 브라우저 vs 인앱 웹뷰 vs 예약 폼 중 결정 필요 / 제휴사 연결 범위(단순 링크 vs 예약 연동)는 사업 협의 사항 — 해커톤에서는 단순 외부 링크 권장

단순히 하이퍼링크 가져가는쪽으로 가도 괜찮을듯
ㄴ 동의합니다.",트리아지 판정 시 외부 클리닉 상담으로 연결한다. 【화면 이동】상담 CTA → 엠레드 클리닉 웹 페이지. (플로우차트 '엠레드 클리닉 상담 연결' → '엠레드 클리닉 웹 페이지'),low,"사용자 ID, 트리아지 판정 결과",외부 웹 페이지 이동(및 연결 이벤트 기록),
